sample_id,true_label,true_label_name,stage1_prediction,stage1_prediction_name,stage1_correct,group_count,raw_ipw,ipw
0,1,客服诈骗,1,客服诈骗,1,1184,7.73902027027027,0.606557546287627
1,2,银行诈骗,2,银行诈骗,1,1018,9.00098231827112,0.7054657512814838
2,0,正常通话,0,正常通话,1,4226,2.1682442025556083,0.16993945452071713
3,2,银行诈骗,2,银行诈骗,1,1018,9.00098231827112,0.7054657512814838
4,0,正常通话,0,正常通话,1,4226,2.1682442025556083,0.16993945452071713
5,0,正常通话,0,正常通话,1,4226,2.1682442025556083,0.16993945452071713
6,0,正常通话,0,正常通话,1,4226,2.1682442025556083,0.16993945452071713
7,1,客服诈骗,1,客服诈骗,1,1184,7.73902027027027,0.606557546287627
8,0,正常通话,0,正常通话,1,4226,2.1682442025556083,0.16993945452071713
9,0,正常通话,0,正常通话,1,4226,2.1682442025556083,0.16993945452071713
10,6,绑架诈骗,6,绑架诈骗,1,227,40.36563876651982,3.163718655526654
11,5,彩票诈骗,5,彩票诈骗,1,326,28.107361963190183,2.202957468725615
12,6,绑架诈骗,6,绑架诈骗,1,227,40.36563876651982,3.163718655526654
13,0,正常通话,0,正常通话,1,4226,2.1682442025556083,0.16993945452071713
14,1,客服诈骗,1,客服诈骗,1,1184,7.73902027027027,0.606557546287627
15,0,正常通话,0,正常通话,1,4226,2.1682442025556083,0.16993945452071713
16,1,客服诈骗,1,客服诈骗,1,1184,7.73902027027027,0.606557546287627
17,0,正常通话,0,正常通话,1,4226,2.1682442025556083,0.16993945452071713
18,3,投资诈骗,3,投资诈骗,1,679,13.494845360824742,1.0576791381510315
19,0,正常通话,0,正常通话,1,4226,2.1682442025556083,0.16993945452071713
20,0,正常通话,0,正常通话,1,4226,2.1682442025556083,0.16993945452071713
21,2,银行诈骗,4,钓鱼诈骗,0,396,23.13888888888889,1.8135457949609861
22,0,正常通话,0,正常通话,1,4226,2.1682442025556083,0.16993945452071713
23,3,投资诈骗,3,投资诈骗,1,679,13.494845360824742,1.0576791381510315
24,0,正常通话,0,正常通话,1,4226,2.1682442025556083,0.16993945452071713
25,0,正常通话,0,正常通话,1,4226,2.1682442025556083,0.16993945452071713
26,0,正常通话,0,正常通话,1,4226,2.1682442025556083,0.16993945452071713
27,0,正常通话,0,正常通话,1,4226,2.1682442025556083,0.16993945452071713
28,0,正常通话,0,正常通话,1,4226,2.1682442025556083,0.16993945452071713
29,0,正常通话,0,正常通话,1,4226,2.1682442025556083,0.16993945452071713
30,0,正常通话,0,正常通话,1,4226,2.1682442025556083,0.16993945452071713
31,1,客服诈骗,1,客服诈骗,1,1184,7.73902027027027,0.606557546287627
32,0,正常通话,0,正常通话,1,4226,2.1682442025556083,0.16993945452071713
33,6,绑架诈骗,6,绑架诈骗,1,227,40.36563876651982,3.163718655526654
34,1,客服诈骗,1,客服诈骗,1,1184,7.73902027027027,0.606557546287627
35,2,银行诈骗,1,客服诈骗,0,396,23.13888888888889,1.8135457949609861
36,1,客服诈骗,7,身份盗窃,0,571,16.047285464098074,1.2577305338083196
37,2,银行诈骗,2,银行诈骗,1,1018,9.00098231827112,0.7054657512814838
38,2,银行诈骗,2,银行诈骗,1,1018,9.00098231827112,0.7054657512814838
39,0,正常通话,0,正常通话,1,4226,2.1682442025556083,0.16993945452071713
40,0,正常通话,0,正常通话,1,4226,2.1682442025556083,0.16993945452071713
41,5,彩票诈骗,1,客服诈骗,0,34,269.5,12.540244632623384
42,1,客服诈骗,5,彩票诈骗,0,571,16.047285464098074,1.2577305338083196
