sample_id,label,correct_stage1,ipw
0,1,1,0.6841122890846647
1,1,1,0.6841122890846647
2,0,1,0.6842740177582072
3,1,1,0.6841122890846647
4,0,1,0.6842740177582072
5,0,1,0.6842740177582072
6,0,1,0.6842740177582072
7,1,1,0.6841122890846647
8,0,1,0.6842740177582072
9,0,1,0.6842740177582072
10,1,1,0.6841122890846647
11,1,1,0.6841122890846647
12,1,1,0.6841122890846647
13,0,1,0.6842740177582072
14,1,1,0.6841122890846647
15,0,1,0.6842740177582072
16,1,1,0.6841122890846647
17,0,1,0.6842740177582072
18,1,1,0.6841122890846647
19,0,1,0.6842740177582072
20,0,1,0.6842740177582072
21,1,1,0.6841122890846647
22,0,1,0.6842740177582072
23,1,1,0.6841122890846647
24,0,1,0.6842740177582072
25,0,1,0.6842740177582072
26,0,1,0.6842740177582072
27,0,1,0.6842740177582072
28,0,1,0.6842740177582072
29,0,1,0.6842740177582072
30,0,1,0.6842740177582072
31,1,1,0.6841122890846647
32,0,1,0.6842740177582072
33,1,1,0.6841122890846647
34,1,1,0.6841122890846647
35,1,1,0.6841122890846647
36,1,1,0.6841122890846647
37,1,1,0.6841122890846647
38,1,1,0.6841122890846647
39,0,1,0.6842740177582072
40,0,1,0.6842740177582072
41,1,1,0.6841122890846647
42,1,1,0.6841122890846647
43,0,1,0.6842740177582072
44,0,1,0.6842740177582072
45,0,1,0.6842740177582072
46,0,1,0.6842740177582072
47,0,1,0.6842740177582072
48,1,1,0.6841122890846647
49,0,1,0.6842740177582072
50,0,1,0.6842740177582072
51,1,1,0.6841122890846647
52,0,1,0.6842740177582072
53,1,1,0.6841122890846647
54,1,1,0.6841122890846647
55,1,1,0.6841122890846647
56,1,1,0.6841122890846647
57,0,1,0.6842740177582072
58,0,1,0.6842740177582072
59,0,1,0.6842740177582072
60,0,1,0.6842740177582072
61,0,1,0.6842740177582072
62,1,1,0.6841122890846647
63,0,1,0.6842740177582072
64,0,1,0.6842740177582072
65,1,1,0.6841122890846647
66,0,1,0.6842740177582072
67,1,1,0.6841122890846647
68,1,1,0.6841122890846647
69,1,1,0.6841122890846647
70,1,1,0.6841122890846647
71,1,1,0.6841122890846647
72,0,1,0.6842740177582072
73,0,1,0.6842740177582072
74,0,1,0.6842740177582072
75,0,1,0.6842740177582072
76,1,1,0.6841122890846647
77,1,1,0.6841122890846647
78,1,1,0.6841122890846647
79,1,1,0.6841122890846647
80,1,1,0.6841122890846647
81,0,1,0.6842740177582072
82,0,1,0.6842740177582072
83,1,1,0.6841122890846647
84,1,1,0.6841122890846647
85,1,1,0.6841122890846647
86,1,1,0.6841122890846647
87,0,1,0.6842740177582072
88,1,1,0.6841122890846647
89,1,1,0.6841122890846647
90,0,1,0.6842740177582072
91,0,1,0.6842740177582072
92,0,1,0.6842740177582072
93,1,1,0.6841122890846647
94,0,1,0.6842740177582072
95,0,1,0.6842740177582072
96,1,1,0.6841122890846647
97,0,1,0.6842740177582072
98,1,1,0.6841122890846647
99,1,1,0.6841122890846647
100,1,1,0.6841122890846647
101,0,1,0.6842740177582072
102,1,1,0.6841122890846647
103,0,1,0.6842740177582072
104,0,1,0.6842740177582072
105,0,1,0.6842740177582072
106,0,1,0.6842740177582072
107,1,1,0.6841122890846647
108,1,1,0.6841122890846647
109,1,1,0.6841122890846647
110,0,1,0.6842740177582072
111,0,1,0.6842740177582072
112,1,1,0.6841122890846647
113,1,1,0.6841122890846647
114,0,1,0.6842740177582072
115,1,1,0.6841122890846647
116,0,1,0.6842740177582072
117,0,1,0.6842740177582072
118,1,1,0.6841122890846647
119,1,1,0.6841122890846647
120,0,1,0.6842740177582072
121,0,1,0.6842740177582072
122,0,1,0.6842740177582072
123,1,1,0.6841122890846647
124,1,1,0.6841122890846647
125,0,1,0.6842740177582072
126,1,1,0.6841122890846647
127,0,1,0.6842740177582072
128,1,1,0.6841122890846647
129,1,1,0.6841122890846647
130,0,1,0.6842740177582072
131,1,1,0.6841122890846647
132,0,1,0.6842740177582072
133,0,1,0.6842740177582072
134,0,1,0.6842740177582072
135,0,1,0.6842740177582072
136,0,1,0.6842740177582072
137,1,1,0.6841122890846647
138,0,1,0.6842740177582072
139,0,1,0.6842740177582072
140,0,1,0.6842740177582072
141,1,1,0.6841122890846647
142,0,1,0.6842740177582072
143,1,1,0.6841122890846647
144,1,1,0.6841122890846647
145,0,1,0.6842740177582072
146,0,1,0.6842740177582072
147,0,1,0.6842740177582072
148,0,1,0.6842740177582072
149,1,1,0.6841122890846647
150,1,1,0.6841122890846647
151,1,1,0.6841122890846647
152,1,1,0.6841122890846647
153,0,1,0.6842740177582072
154,1,1,0.6841122890846647
155,1,1,0.6841122890846647
156,0,1,0.6842740177582072
157,1,1,0.6841122890846647
158,1,1,0.6841122890846647
159,1,1,0.6841122890846647
160,1,1,0.6841122890846647
161,1,1,0.6841122890846647
162,1,1,0.6841122890846647
163,1,1,0.6841122890846647
164,1,1,0.6841122890846647
165,0,1,0.6842740177582072
166,1,1,0.6841122890846647
167,0,1,0.6842740177582072
168,1,1,0.6841122890846647
169,1,1,0.6841122890846647
170,0,1,0.6842740177582072
171,0,1,0.6842740177582072
172,1,1,0.6841122890846647
173,0,1,0.6842740177582072
174,1,1,0.6841122890846647
175,0,1,0.6842740177582072
176,1,1,0.6841122890846647
177,0,1,0.6842740177582072
178,0,1,0.6842740177582072
179,0,1,0.6842740177582072
180,0,1,0.6842740177582072
181,1,1,0.6841122890846647
182,1,1,0.6841122890846647
183,1,1,0.6841122890846647
184,1,1,0.6841122890846647
185,1,1,0.6841122890846647
186,1,1,0.6841122890846647
187,1,1,0.6841122890846647
188,0,1,0.6842740177582072
189,1,1,0.6841122890846647
190,0,1,0.6842740177582072
191,0,1,0.6842740177582072
192,0,1,0.6842740177582072
193,0,1,0.6842740177582072
194,1,1,0.6841122890846647
195,0,1,0.6842740177582072
196,0,1,0.6842740177582072
197,1,1,0.6841122890846647
198,1,1,0.6841122890846647
199,1,1,0.6841122890846647
200,1,1,0.6841122890846647
201,0,1,0.6842740177582072
202,1,1,0.6841122890846647
203,0,1,0.6842740177582072
204,1,1,0.6841122890846647
205,1,1,0.6841122890846647
206,1,1,0.6841122890846647
207,1,1,0.6841122890846647
208,0,1,0.6842740177582072
209,1,1,0.6841122890846647
210,0,1,0.6842740177582072
211,0,1,0.6842740177582072
212,1,1,0.6841122890846647
213,0,1,0.6842740177582072
214,1,1,0.6841122890846647
215,0,1,0.6842740177582072
216,0,1,0.6842740177582072
217,1,1,0.6841122890846647
218,0,1,0.6842740177582072
219,1,1,0.6841122890846647
220,0,1,0.6842740177582072
221,1,1,0.6841122890846647
222,1,1,0.6841122890846647
223,0,1,0.6842740177582072
224,1,1,0.6841122890846647
225,1,1,0.6841122890846647
226,1,1,0.6841122890846647
227,1,1,0.6841122890846647
228,0,1,0.6842740177582072
229,0,1,0.6842740177582072
230,1,1,0.6841122890846647
231,0,1,0.6842740177582072
232,0,1,0.6842740177582072
233,0,1,0.6842740177582072
234,1,1,0.6841122890846647
235,0,1,0.6842740177582072
236,1,1,0.6841122890846647
237,0,1,0.6842740177582072
238,1,1,0.6841122890846647
239,0,1,0.6842740177582072
240,1,1,0.6841122890846647
241,1,1,0.6841122890846647
242,1,1,0.6841122890846647
243,0,1,0.6842740177582072
244,1,1,0.6841122890846647
245,1,1,0.6841122890846647
246,1,1,0.6841122890846647
247,0,1,0.6842740177582072
248,0,1,0.6842740177582072
249,0,1,0.6842740177582072
250,0,1,0.6842740177582072
251,0,1,0.6842740177582072
252,0,1,0.6842740177582072
253,0,1,0.6842740177582072
254,1,1,0.6841122890846647
255,1,1,0.6841122890846647
256,0,1,0.6842740177582072
257,1,1,0.6841122890846647
258,0,1,0.6842740177582072
259,1,1,0.6841122890846647
260,1,1,0.6841122890846647
261,1,1,0.6841122890846647
262,0,1,0.6842740177582072
263,0,1,0.6842740177582072
264,0,1,0.6842740177582072
265,0,1,0.6842740177582072
266,0,1,0.6842740177582072
267,1,1,0.6841122890846647
268,1,1,0.6841122890846647
269,0,1,0.6842740177582072
270,1,1,0.6841122890846647
271,0,1,0.6842740177582072
272,1,1,0.6841122890846647
273,1,1,0.6841122890846647
274,1,1,0.6841122890846647
275,0,1,0.6842740177582072
276,0,1,0.6842740177582072
277,0,1,0.6842740177582072
278,0,1,0.6842740177582072
279,1,1,0.6841122890846647
280,1,1,0.6841122890846647
281,0,1,0.6842740177582072
282,1,1,0.6841122890846647
283,1,1,0.6841122890846647
284,0,1,0.6842740177582072
285,1,1,0.6841122890846647
286,0,1,0.6842740177582072
287,0,1,0.6842740177582072
288,1,1,0.6841122890846647
289,1,1,0.6841122890846647
290,1,1,0.6841122890846647
291,1,1,0.6841122890846647
292,0,1,0.6842740177582072
293,0,1,0.6842740177582072
294,1,1,0.6841122890846647
295,1,1,0.6841122890846647
296,1,1,0.6841122890846647
297,1,1,0.6841122890846647
298,0,1,0.6842740177582072
299,0,1,0.6842740177582072
300,0,1,0.6842740177582072
301,1,1,0.6841122890846647
302,1,1,0.6841122890846647
303,1,1,0.6841122890846647
304,0,1,0.6842740177582072
305,0,1,0.6842740177582072
306,0,1,0.6842740177582072
307,0,1,0.6842740177582072
308,0,1,0.6842740177582072
309,1,1,0.6841122890846647
310,0,1,0.6842740177582072
311,1,1,0.6841122890846647
